exercise_id,is_compound,is_isolation,is_unilateral,is_bilateral,knee_friendly,back_friendly,shoulder_friendly,beginner_safe,requires_spotter,high_impact,low_impact,time_efficient
F019,false,true,false,true,true,true,true,true,false,false,true,false
F020,true,false,false,true,true,true,true,false,false,false,true,true
F021,true,false,false,true,true,false,true,false,false,false,true,true
F022,true,false,false,true,true,true,true,true,false,false,true,true
F023,true,false,true,false,false,true,true,false,false,false,true,true
F024,true,false,true,false,false,true,true,false,false,false,true,true
F025,true,false,false,true,true,false,true,false,true,false,true,true
F026,true,false,false,true,true,false,true,false,false,false,true,true
F027,true,false,false,true,true,false,true,false,false,false,true,true
F028,true,false,false,true,true,true,true,false,false,false,true,true
F029,false,true,false,true,true,true,true,true,false,false,true,false
F030,false,true,true,false,true,true,true,true,false,false,true,false
F031,false,true,true,false,true,true,true,true,false,false,true,false
F032,false,true,false,true,true,true,true,true,false,false,true,false
F033,true,false,false,true,true,true,false,false,false,false,true,false
F034,true,false,false,true,true,true,true,false,true,false,true,true
F035,true,false,false,true,true,true,true,false,false,false,true,true
F036,true,false,false,true,false,true,true,false,true,false,true,true
F037,true,false,false,true,false,true,false,false,false,false,true,true
F038,true,false,false,true,true,true,false,false,false,false,true,true
F039,true,false,false,true,true,true,true,false,false,false,true,true
F040,true,false,false,true,true,false,true,false,true,false,true,true
F041,true,false,false,true,true,true,true,true,false,false,true,true
F042,true,false,false,true,true,true,true,true,false,false,true,true
F043,true,false,false,true,true,true,true,false,false,false,true,true
F044,false,true,false,true,true,true,false,false,false,false,true,false
F045,false,true,false,true,true,true,true,false,false,false,true,false
F046,false,true,false,true,true,true,true,false,false,false,true,false
F047,false,true,false,true,true,true,true,true,false,false,true,false
F048,false,true,false,true,true,true,false,false,false,false,true,false
F049,false,true,false,true,true,true,true,true,false,false,true,false
F050,true,false,false,true,true,true,true,true,false,false,true,true
F051,true,false,false,true,true,true,true,false,false,false,true,true
F052,false,true,false,true,true,true,true,true,false,false,true,false
F053,false,true,false,true,true,true,true,true,false,false,true,false
F054,false,true,false,true,true,true,true,true,false,false,true,false
F055,true,false,false,true,true,true,true,false,false,false,true,true
F056,true,false,false,true,true,true,true,false,true,false,true,true
F057,true,false,false,true,false,true,true,false,true,false,true,true
F058,true,false,false,true,true,true,true,true,false,false,true,true
F059,true,false,true,false,true,true,true,true,false,false,true,true
F060,true,false,false,true,true,true,true,true,false,false,true,true
F061,true,false,true,false,false,true,true,false,false,false,true,true
F062,true,false,true,false,true,true,true,false,false,false,true,true
F063,true,false,true,false,false,true,true,false,false,false,true,true
F064,false,true,false,true,true,true,true,true,false,false,true,false
F065,false,true,false,true,true,true,true,true,false,false,true,false
F066,true,false,false,true,true,true,true,true,false,false,true,true
F067,true,false,false,true,true,true,true,false,false,false,true,true
F068,true,false,false,true,true,true,false,false,true,false,true,true
F069,true,false,false,true,false,false,false,false,false,false,true,true
F070,true,false,false,true,false,false,false,false,false,false,true,true
F071,true,false,false,true,false,false,false,false,false,false,true,true
F072,true,false,false,true,true,true,true,true,false,false,true,true
F073,true,false,false,true,true,false,false,false,true,false,true,true
F074,true,false,false,true,false,false,true,false,true,false,true,true
F075,true,false,false,true,true,false,false,false,false,false,true,true
F076,true,false,false,true,true,true,true,true,false,false,true,true
F077,true,false,false,true,true,true,true,true,false,false,true,true
F078,true,false,false,true,true,true,false,false,false,false,true,true
F079,false,true,false,true,true,true,true,false,false,false,true,false
F080,true,false,false,true,true,true,false,false,false,false,true,true
F081,false,true,true,false,true,false,true,true,false,false,true,false
F082,true,false,true,false,true,true,true,false,false,false,true,true
F083,true,false,true,false,false,false,false,false,false,true,false,true
F084,true,false,false,true,true,true,true,false,false,false,true,true
F085,true,false,false,true,true,true,true,true,false,false,true,true
F086,true,false,true,false,false,true,true,false,false,false,true,true
F087,true,false,true,false,true,true,true,false,false,false,true,true
F088,true,false,false,true,false,false,false,false,false,false,true,true
F089,true,false,false,true,true,true,true,false,false,false,true,true
F090,false,true,false,true,true,true,true,false,false,false,true,false
F091,false,true,false,true,true,true,true,false,false,false,true,false
F092,false,true,false,true,true,true,true,false,false,false,true,false
F093,false,true,false,true,true,true,true,true,false,false,true,false
F094,true,false,false,true,true,true,false,false,true,false,true,true
F095,false,true,false,true,true,true,false,false,false,false,true,false
F096,true,false,false,true,true,true,true,true,false,false,true,true
F097,true,false,true,false,true,true,true,false,false,false,true,true
F098,true,false,true,false,true,true,true,false,false,false,true,true
F099,true,false,true,false,false,true,true,false,false,false,true,true
F100,true,false,false,true,false,true,true,false,false,true,false,true
H_PUSHUP,true,false,false,true,true,true,true,true,false,false,true,true
H_KNEE_PUSHUP,true,false,false,true,true,true,true,true,false,false,true,true
H_INCLINE_PUSHUP,true,false,false,true,true,true,true,true,false,false,true,true
H_DECLINE_PUSHUP,true,false,false,true,true,true,false,false,false,false,true,true
H_DIAMOND_PUSHUP,true,false,false,true,true,true,false,false,false,false,true,true
H_PIKE_PUSHUP,true,false,false,true,true,true,false,false,false,false,true,true
H_HSPU,true,false,false,true,true,true,false,false,false,false,true,true
H_FLOOR_FLY,false,true,false,true,true,true,false,true,false,false,true,false
H_FLOOR_PULLOVER,false,true,false,true,true,true,false,true,false,false,true,false
H_DOORWAY_ROW,true,false,false,true,true,true,true,true,false,false,true,true
H_INV_ROW,true,false,false,true,true,true,true,true,false,false,true,true
H_PULLUP_DOOR,true,false,false,true,true,true,true,false,false,false,true,true
H_BAND_PULLDOWN,true,false,false,true,true,true,true,true,false,false,true,true
H_BAND_ROW,true,false,false,true,true,true,true,true,false,false,true,true
H_SQUAT,true,false,false,true,true,true,true,true,false,false,true,true
H_BOX_SQUAT_BW,true,false,false,true,true,true,true,true,false,false,true,true
H_GOBLET_SQUAT_BW,true,false,false,true,true,true,true,true,false,false,true,true
H_JUMP_SQUAT,true,false,false,true,false,true,true,false,false,true,false,true
H_BOX_JUMP,true,false,false,true,false,true,true,false,false,true,false,true
H_LUNGE,true,false,true,false,false,true,true,true,false,false,true,true
H_REVERSE_LUNGE,true,false,true,false,true,true,true,true,false,false,true,true
H_SIDE_LUNGE,true,false,true,false,true,true,true,true,false,false,true,true
H_COSSACK_SQUAT,true,false,true,false,false,true,true,false,false,false,true,true
H_BULGARIAN_SPLIT,true,false,true,false,false,true,true,false,false,false,true,true
H_STEP_UP,true,false,true,false,true,true,true,true,false,false,true,true
H_PISTOL_SQUAT,true,false,true,false,false,true,true,false,false,false,true,true
H_GLUTE_BRIDGE,true,false,false,true,true,true,true,true,false,false,true,true
H_SINGLE_LEG_BRIDGE,true,false,true,false,true,true,true,true,false,false,true,true
H_HIP_THRUST_COUCH,true,false,false,true,true,true,true,true,false,false,true,true
H_DONKEY_KICK,false,true,true,false,true,true,true,true,false,false,true,false
H_FIRE_HYDRANT,false,true,true,false,true,true,true,true,false,false,true,false
H_CLAMSHELL,false,true,true,false,true,true,true,true,false,false,true,false
H_SIDE_LYING_ADDUCTION,false,true,true,false,true,true,true,true,false,false,true,false
H_GOOD_MORNING_BW,true,false,false,true,true,true,true,true,false,false,true,true
H_SINGLE_LEG_RDL,true,false,true,false,true,true,true,false,false,false,true,true
H_NORDIC_CURL_AS,true,false,false,true,true,true,true,false,false,false,true,true
H_KB_SWING,true,false,false,true,true,true,true,false,false,false,true,true
H_WALL_SIT,false,true,false,true,true,true,true,true,false,false,true,false
H_CALF_RAISE,false,true,false,true,true,true,true,true,false,false,true,false
H_LATERAL_RAISE_BW,false,true,false,true,true,true,true,true,false,false,true,false
H_FRONT_RAISE_BW,false,true,false,true,true,true,true,true,false,false,true,false
H_REAR_DELT_RAISE,false,true,false,true,true,true,true,true,false,false,true,false
H_BAND_FACEPULL,false,true,false,true,true,true,true,true,false,false,true,false
H_BAND_UPRIGHT,true,false,false,true,true,true,false,false,false,false,true,false
H_BAND_SHRUG,false,true,false,true,true,true,true,true,false,false,true,false
H_BAND_CURL,false,true,false,true,true,true,true,true,false,false,true,false
H_BAND_HAMMER,false,true,false,true,true,true,true,true,false,false,true,false
H_TRICEP_DIP,true,false,false,true,true,true,false,true,false,false,true,true
H_TRICEP_KICKBACK,false,true,true,false,true,true,true,true,false,false,true,false
H_OVERHEAD_TRICEP,false,true,false,true,true,true,false,true,false,false,true,false
H_PLANK,true,false,false,true,true,true,true,true,false,false,true,true
H_SIDE_PLANK,true,false,true,false,true,true,true,true,false,false,true,true
H_HOLLOW_BODY,false,true,false,true,true,false,true,false,false,false,true,false
H_CRUNCH,false,true,false,true,true,true,true,true,false,false,true,false
H_REVERSE_CRUNCH,false,true,false,true,true,true,true,true,false,false,true,false
H_LYING_LEG_RAISE,false,true,false,true,true,true,true,true,false,false,true,false
H_BICYCLE,false,true,false,true,true,true,true,true,false,false,true,false
H_RUSSIAN_TWIST,false,true,false,true,true,false,true,true,false,false,true,false
H_MOUNTAIN_CLIMBER,true,false,false,true,true,false,false,true,false,true,false,true
H_BURPEE,true,false,false,true,false,false,false,false,false,true,false,true
H_HIGH_KNEE,true,false,false,true,false,true,true,true,false,true,false,true
H_JUMPING_JACK,true,false,false,true,false,true,true,true,false,true,false,true
H_SUPERMAN,false,true,false,true,true,true,true,true,false,false,true,false
H_BIRD_DOG,false,true,true,false,true,true,true,true,false,false,true,false
H_DEAD_BUG,false,true,false,true,true,true,true,true,false,false,true,false
H_SIDE_BEND,false,true,true,false,true,false,true,true,false,false,true,false
H_SIDE_CRUNCH,false,true,true,false,true,false,true,true,false,false,true,false
H_AB_ROLLOUT,true,false,false,true,true,false,false,false,false,false,true,true
H_FARMER_BW,true,false,false,true,true,true,true,true,false,false,true,true
H_WRIST_CURL,false,true,false,true,true,true,true,true,false,false,true,false
H_GET_UP_BW,true,false,true,false,true,true,true,false,false,false,true,true
C_TREADMILL_WALK,true,false,false,true,true,true,true,true,false,false,true,false
C_TREADMILL_RUN,true,false,false,true,false,true,true,true,false,true,false,true
C_TREADMILL_HIIT,true,false,false,true,false,true,true,false,false,true,false,true
C_TREADMILL_INCLINE,true,false,false,true,true,true,true,true,false,false,true,true
C_BIKE,true,false,false,true,true,true,true,true,false,false,true,false
C_BIKE_HIIT,true,false,false,true,true,true,true,false,false,false,true,true
C_SPIN,true,false,false,true,true,true,true,false,false,false,true,true
C_ROWING,true,false,false,true,true,false,true,true,false,false,true,true
C_ELLIPTICAL,true,false,false,true,true,true,true,true,false,false,true,false
C_STAIR,true,false,false,true,true,true,true,true,false,false,true,true
C_OUTDOOR_WALK,true,false,false,true,true,true,true,true,false,false,true,false
C_OUTDOOR_RUN,true,false,false,true,false,true,true,true,false,true,false,true
C_OUTDOOR_BIKE,true,false,false,true,true,true,true,true,false,false,true,false
C_OUTDOOR_HIKE,true,false,false,true,true,true,true,true,false,false,true,false
C_STAIRS,true,false,false,true,true,true,true,true,false,false,true,true
C_JUMP_ROPE,true,false,false,true,false,true,true,false,false,true,false,true
C_SWIM,true,false,false,true,true,true,true,true,false,false,true,false
Y001,true,false,false,true,true,true,true,true,false,false,true,true
Y002,false,true,false,true,true,true,true,true,false,false,true,false
Y003,true,false,false,true,true,true,false,true,false,false,true,false
Y004,false,true,false,true,true,true,true,true,false,false,true,false
Y005,true,false,false,true,true,true,false,false,false,false,true,false
Y006,true,false,true,false,true,true,true,true,false,false,true,false
Y007,true,false,true,false,true,true,true,true,false,false,true,false
Y008,true,false,true,false,true,true,true,false,false,false,true,false
Y009,false,true,true,false,true,true,true,true,false,false,true,false
Y010,false,true,true,false,true,true,true,false,false,false,true,false
Y011,true,false,false,true,true,true,true,true,false,false,true,false
Y012,true,false,false,true,true,false,false,false,false,false,true,false
Y013,false,true,false,true,true,true,true,true,false,false,true,false
Y014,false,true,false,true,true,true,true,true,false,false,true,false
Y015,false,true,false,true,true,true,false,false,false,false,true,false
