exercise_id,name_ko,name_en,category,equipment,primary_muscles,secondary_muscles,movement_pattern,difficulty,location,unilateral,regression_id,progression_id,equivalent_id,home_substitute_id,met,video_id
M044,케이블 우드촙,Cable Woodchop,gym,cable,복사근|복근,어깨,trunk_rotation,중급,gym,false,M043,,,H_RUSSIAN_TWIST,5.0,
M045,행잉 레그 레이즈 머신,Hanging Leg Raise (Captain Chair),gym,machine,복근(하부)|장요근,,hip_flexion,중급,gym,false,M042,F020,F020,H_LYING_LEG_RAISE,5.0,
M046,백 익스텐션 머신,Back Extension Machine,gym,machine,척추기립근|둔근,햄스트링,hip_extension,초급,gym,false,,F021,F021,H_SUPERMAN,4.5,
M047,글루트 햄 레이즈 (GHR),Glute Ham Raise,gym,machine,햄스트링|둔근,척추기립근,knee_flexion,고급,gym,false,M046,,,H_NORDIC_CURL_AS,6.0,
M048,힙 쓰러스트 머신,Hip Thrust Machine,gym,machine,둔근,햄스트링,hip_extension,초급,gym,false,M022,F022,F022,H_GLUTE_BRIDGE,5.0,
M049,스미스 힙 쓰러스트,Smith Hip Thrust,gym,smith,둔근,햄스트링,hip_extension,중급,gym,false,M048,F022,F022,H_SINGLE_LEG_BRIDGE,5.5,
M050,스미스머신 런지,Smith Machine Lunge,gym,smith,대퇴사두|둔근,햄스트링,lunge,중급,gym,true,M016,F023,F023,H_LUNGE,6.0,
M051,스미스머신 불가리안 스플릿,Smith Bulgarian Split Squat,gym,smith,대퇴사두|둔근,햄스트링,lunge,고급,gym,true,M050,,F024,H_BULGARIAN_SPLIT,7.0,
M052,스미스머신 데드리프트,Smith Machine Deadlift,gym,smith,햄스트링|둔근|등,척추기립근,hip_hinge,중급,gym,false,,F025,F025,H_GOOD_MORNING_BW,7.0,
M053,스미스머신 RDL,Smith Romanian Deadlift,gym,smith,햄스트링|둔근,등,hip_hinge,중급,gym,false,M052,,F026,H_GOOD_MORNING_BW,6.5,
M054,스미스 스티프 레그 데드리프트,Smith Stiff Leg Deadlift,gym,smith,햄스트링,둔근|등,hip_hinge,중급,gym,false,M053,,F027,H_GOOD_MORNING_BW,6.5,
M055,케이블 풀스루,Cable Pull Through,gym,cable,둔근|햄스트링,,hip_hinge,초급,gym,false,,F026,,H_GLUTE_BRIDGE,5.0,
M056,케이블 글루트 킥백,Cable Glute Kickback,gym,cable,둔근,햄스트링,hip_extension,초급,gym,true,M022,,,H_DONKEY_KICK,4.5,
M057,어시스트 친업 머신,Assisted Chin-up Machine,gym,machine,등(광배)|이두,,vertical_pull,중급,gym,false,M008,F028,F028,H_DOORWAY_ROW,6.0,
M058,슈러그 머신,Shrug Machine,gym,machine,승모,전완,scapular_elevation,초급,gym,false,,F029,F029,H_BAND_SHRUG,4.0,
M059,케이블 슈러그,Cable Shrug,gym,cable,승모,전완,scapular_elevation,초급,gym,false,M058,,F029,H_BAND_SHRUG,4.0,
M060,리버스 펙덱 (리어 델트),Reverse Pec Deck,gym,machine,어깨(후면)|승모,,horizontal_pull_iso,초급,gym,false,,,M030,H_REAR_DELT_RAISE,4.0,
M061,케이블 풀오버 (스트레이트바),Cable Pullover Straight Bar,gym,cable,등(광배),가슴|삼두,vertical_pull_iso,중급,gym,false,M014,,,H_FLOOR_PULLOVER,4.5,
M062,케이블 킥백 (삼두),Cable Triceps Kickback,gym,cable,삼두,,elbow_extension,초급,gym,true,,M033,F030,H_TRICEP_KICKBACK,4.0,
M063,케이블 컨센트레이션 컬,Cable Concentration Curl,gym,cable,이두,,elbow_flexion,중급,gym,true,M040,,F031,H_BAND_CURL,4.0,
M064,머신 백 익스텐션 (수평),Horizontal Back Extension,gym,machine,척추기립근|둔근,햄스트링,hip_extension,초급,gym,false,M046,,F021,H_SUPERMAN,4.5,
M065,로만 체어 사이드 벤드,Roman Chair Side Bend,gym,bodyweight,복사근,요방형근,trunk_lateral_flexion,중급,gym,true,,,,H_SIDE_BEND,4.0,
M066,압도미널 사이드 크런치 머신,Side Crunch Machine,gym,machine,복사근,복근,trunk_lateral_flexion,초급,gym,false,,M065,M065,H_SIDE_CRUNCH,4.0,
M067,케이블 크런치,Cable Crunch,gym,cable,복근,복사근,trunk_flexion,중급,gym,false,M042,,,H_CRUNCH,5.0,
M068,스탠딩 케이블 크런치,Standing Cable Crunch,gym,cable,복근,복사근,trunk_flexion,중급,gym,false,M067,,,H_CRUNCH,4.5,
M069,머신 토르소 로테이션,Torso Rotation Machine,gym,machine,복사근,복근,trunk_rotation,초급,gym,false,,M044,M043,H_RUSSIAN_TWIST,4.0,
M070,머신 힙 쓰러스트 (플레이트),Plate-loaded Hip Thrust,gym,plate,둔근,햄스트링,hip_extension,중급,gym,false,M048,,F022,H_GLUTE_BRIDGE,5.5,
M071,피크 데크 리어 델트,Pec Deck Reverse,gym,machine,어깨(후면),승모,horizontal_pull_iso,초급,gym,false,,,M030,H_REAR_DELT_RAISE,4.0,
M072,케이블 프론트 레이즈,Cable Front Raise,gym,cable,어깨(전면),,shoulder_flexion,중급,gym,false,,F032,F032,H_FRONT_RAISE_BW,4.0,
M073,케이블 업라이트 로우,Cable Upright Row,gym,cable,어깨|승모,이두,vertical_pull,중급,gym,false,,F033,F033,H_BAND_UPRIGHT,4.5,
M074,머신 컨버징 체스트 프레스,Converging Chest Press,gym,machine,가슴|삼두,어깨,horizontal_push,초급,gym,false,M001,,F001,H_PUSHUP,5.0,
M075,머신 디클라인 프레스,Decline Press Machine,gym,machine,가슴(하부)|삼두,,horizontal_push,중급,gym,false,,,F004,H_DECLINE_PUSHUP,5.0,
M076,머신 인클라인 로우,Incline Row Machine,gym,machine,등(중부)|승모,이두,horizontal_pull,초급,gym,false,,,F008,H_DOORWAY_ROW,5.0,
M077,핵 스쿼트 (리버스),Reverse Hack Squat,gym,machine,햄스트링|둔근,대퇴사두,squat,중급,gym,false,M017,,,H_GLUTE_BRIDGE,6.0,
M078,벨트 스쿼트 머신,Belt Squat Machine,gym,machine,대퇴사두|둔근,,squat,중급,gym,false,M016,,F009,H_SQUAT,6.5,
M079,스미스머신 카프 레이즈,Smith Calf Raise,gym,smith,종아리,,calf_raise,초급,gym,false,,,M025,H_CALF_RAISE,3.5,
M080,레그 프레스 카프,Leg Press Calf Raise,gym,machine,종아리,,calf_raise,초급,gym,false,M079,,M025,H_CALF_RAISE,3.5,
M081,머신 풀오버,Machine Pullover,gym,machine,등(광배),가슴|삼두,vertical_pull_iso,중급,gym,false,M014,,,H_FLOOR_PULLOVER,4.5,
M082,머신 어시스트 딥스,Assisted Dips,gym,machine,삼두|가슴,어깨,vertical_push,중급,gym,false,M037,F016,,H_TRICEP_DIP,6.0,
M083,스미스머신 클로즈그립 벤치,Smith Close-grip Bench,gym,smith,삼두|가슴,어깨,horizontal_push,중급,gym,false,M005,,F034,H_DIAMOND_PUSHUP,6.0,
M084,스미스머신 시티드 숄더 프레스,Smith Seated Shoulder Press,gym,smith,어깨|삼두,승모,vertical_push,중급,gym,false,M027,,F012,H_PIKE_PUSHUP,5.5,
M085,머신 프리처 해머 컬,Machine Hammer Preacher,gym,machine,이두|상완근,,elbow_flexion,초급,gym,false,M038,,F019,H_BAND_HAMMER,4.0,
M086,로우 풀리 페이스풀,Low Pulley Face Pull,gym,cable,어깨(후면),승모,horizontal_pull_iso,중급,gym,false,M031,,,H_BAND_FACEPULL,4.0,
M087,크로스바디 케이블 컬,Cross-body Cable Curl,gym,cable,이두,상완근,elbow_flexion,중급,gym,true,M040,,,H_BAND_CURL,4.0,
M088,머신 시티드 딥스,Seated Dip Machine,gym,machine,삼두|가슴,어깨,vertical_push,초급,gym,false,M082,,F016,H_TRICEP_DIP,5.5,
M089,머신 어덕션/앱덕션 콤보,Adduction/Abduction Combo,gym,machine,내전근|중둔근,,hip_adduction,초급,gym,false,M023,,,H_CLAMSHELL,3.5,
M090,머신 글루트 드라이브,Glute Drive Machine,gym,machine,둔근,햄스트링,hip_extension,초급,gym,false,M048,,F022,H_GLUTE_BRIDGE,5.0,
M091,머신 카프 프레스,Calf Press Machine,gym,machine,종아리,,calf_raise,초급,gym,false,M025,,,H_CALF_RAISE,3.5,
M092,머신 시티드 레그 프레스 (수평),Horizontal Leg Press,gym,machine,대퇴사두|둔근,햄스트링,squat,초급,gym,false,M016,,F009,H_SQUAT,5.5,
M093,머신 라잉 레그 컬 (플레이트),Plate Lying Leg Curl,gym,plate,햄스트링,,knee_flexion,초급,gym,false,M020,,M020,H_GLUTE_BRIDGE,4.0,
M094,머신 시티드 로우 (와이드),Wide Seated Row,gym,machine,등(중부)|후면삼각,이두,horizontal_pull,초급,gym,false,M010,,F008,H_DOORWAY_ROW,5.0,
M095,머신 풀다운 (뉴트럴 그립),Neutral Grip Pulldown,gym,machine,등(광배),이두,vertical_pull,초급,gym,false,M008,,,H_DOORWAY_ROW,5.0,
M096,머신 풀다운 (와이드),Wide Grip Pulldown,gym,machine,등(광배),후면삼각|이두,vertical_pull,초급,gym,false,M008,,,H_DOORWAY_ROW,5.0,
M097,머신 시티드 케이블 로우 (V바),V-bar Cable Row,gym,cable,등(중부)|광배,이두,horizontal_pull,초급,gym,false,M013,,F006,H_DOORWAY_ROW,5.0,
M098,머신 핵 데드리프트,Hack Deadlift Machine,gym,machine,등|햄스트링|둔근,승모,hip_hinge,중급,gym,false,M017,,F025,H_GOOD_MORNING_BW,6.5,
M099,머신 슈러그 (플레이트),Plate Shrug,gym,plate,승모,전완,scapular_elevation,초급,gym,false,M058,,F029,H_BAND_SHRUG,4.0,
M100,머신 시티드 카프 (플레이트),Plate Seated Calf,gym,plate,종아리(가자미),,calf_raise,초급,gym,false,M026,,,H_CALF_RAISE,3.5,
F001,바벨 벤치프레스,Barbell Bench Press,gym,barbell,가슴|삼두,어깨,horizontal_push,중급,gym,false,M001,F002,M005,H_PUSHUP,6.0,vthMCtgVtFw
F002,인클라인 바벨 벤치프레스,Incline Barbell Bench,gym,barbell,가슴(상부)|삼두,어깨,horizontal_push,중급,gym,false,F001,,M006,H_INCLINE_PUSHUP,6.5,
F003,덤벨 플라이,Dumbbell Fly,gym,dumbbell,가슴,어깨(전면),horizontal_push_iso,초급,gym,false,,,M003,H_FLOOR_FLY,5.0,
F004,바벨 디클라인 벤치프레스,Decline Barbell Bench,gym,barbell,가슴(하부)|삼두,,horizontal_push,중급,gym,false,F001,,M075,H_DECLINE_PUSHUP,6.0,
F005,풀업,Pull-up,gym,bodyweight,등(광배)|이두,후면삼각,vertical_pull,중급,gym,false,M009,F035,,H_DOORWAY_ROW,8.0,
F006,바벨 벤트오버 로우,Barbell Bent-over Row,gym,barbell,등(중부)|광배,이두|후면삼각,horizontal_pull,중급,gym,false,M010,,M097,H_DOORWAY_ROW,6.0,
F007,덤벨 원암 로우,One-arm Dumbbell Row,gym,dumbbell,등(중부)|광배,이두,horizontal_pull,초급,gym,true,,F006,M011,H_DOORWAY_ROW,5.5,
F008,바벨 펜들레이 로우,Pendlay Row,gym,barbell,등(중부)|광배,이두,horizontal_pull,중급,gym,false,F006,,M012,H_DOORWAY_ROW,6.5,
F009,바벨 백 스쿼트,Barbell Back Squat,gym,barbell,대퇴사두|둔근,햄스트링|척추기립근,squat,중급,gym,false,M016,F036,M018,H_SQUAT,7.5,Fk9j6pQ6zjc
F010,덤벨 스티프 레그 데드리프트,DB Stiff Leg Deadlift,gym,dumbbell,햄스트링|둔근,등,hip_hinge,중급,gym,false,M053,,F027,H_GOOD_MORNING_BW,6.0,
F011,스탠딩 바벨 카프 레이즈,Barbell Standing Calf,gym,barbell,종아리,,calf_raise,초급,gym,false,M025,,,H_CALF_RAISE,4.0,
F012,바벨 오버헤드 프레스,Overhead Press (OHP),gym,barbell,어깨|삼두,승모|상부가슴,vertical_push,중급,gym,false,M027,F037,M028,H_PIKE_PUSHUP,6.0,
F013,덤벨 래터럴 레이즈,Dumbbell Lateral Raise,gym,dumbbell,어깨(측면),승모,shoulder_abduction,초급,gym,false,M029,,M032,H_LATERAL_RAISE_BW,4.0,
F014,덤벨 리어 델트 플라이,DB Rear Delt Fly,gym,dumbbell,어깨(후면)|승모,,horizontal_pull_iso,초급,gym,false,M030,,M060,H_REAR_DELT_RAISE,4.0,
F015,덤벨 오버헤드 익스텐션,DB Overhead Extension,gym,dumbbell,삼두(장두),,elbow_extension,중급,gym,false,M035,,M035,H_OVERHEAD_TRICEP,4.0,
F016,평행봉 딥스,Parallel Bar Dips,gym,bodyweight,삼두|가슴(하부),어깨,vertical_push,중급,gym,false,M037,F038,,H_TRICEP_DIP,7.0,
F017,바벨 컬,Barbell Curl,gym,barbell,이두,전완,elbow_flexion,초급,gym,false,M038,,M040,H_BAND_CURL,4.5,
F018,덤벨 프리처 컬,DB Preacher Curl,gym,dumbbell,이두,,elbow_flexion,초급,gym,true,M039,,M039,H_BAND_CURL,4.0,
F019,덤벨 해머 컬,Dumbbell Hammer Curl,gym,dumbbell,이두|상완근,전완,elbow_flexion,초급,gym,false,M041,,M041,H_BAND_HAMMER,4.0,
F020,행잉 레그 레이즈,Hanging Leg Raise,gym,bodyweight,복근(하부)|장요근,,hip_flexion,고급,gym,false,M045,F039,M045,H_LYING_LEG_RAISE,5.5,
F021,바벨 굿모닝,Barbell Good Morning,gym,barbell,햄스트링|척추기립근,둔근,hip_hinge,중급,gym,false,M046,,M064,H_GOOD_MORNING_BW,5.0,
F022,바벨 힙 쓰러스트,Barbell Hip Thrust,gym,barbell,둔근,햄스트링,hip_extension,중급,gym,false,M048,,M070,H_GLUTE_BRIDGE,5.5,
F023,덤벨 워킹 런지,DB Walking Lunge,gym,dumbbell,대퇴사두|둔근,햄스트링,lunge,중급,gym,true,M050,,M050,H_LUNGE,7.0,
F024,바벨 불가리안 스플릿 스쿼트,Barbell Bulgarian Split,gym,barbell,대퇴사두|둔근,햄스트링,lunge,고급,gym,true,M051,,M051,H_BULGARIAN_SPLIT,7.5,
F025,바벨 컨벤셔널 데드리프트,Conventional Deadlift,gym,barbell,햄스트링|둔근|등,척추기립근|승모,hip_hinge,고급,gym,false,M052,F040,M052,H_GOOD_MORNING_BW,8.0,op9kVnSso6Q
F026,바벨 루마니안 데드리프트,Romanian Deadlift (RDL),gym,barbell,햄스트링|둔근,등|척추기립근,hip_hinge,중급,gym,false,M053,,M053,H_GOOD_MORNING_BW,7.0,
F027,바벨 스티프 레그 데드리프트,Stiff Leg Deadlift,gym,barbell,햄스트링,둔근|등,hip_hinge,중급,gym,false,M054,,M054,H_GOOD_MORNING_BW,6.5,
F028,친업,Chin-up,gym,bodyweight,등(광배)|이두,,vertical_pull,중급,gym,false,M057,F005,M057,H_DOORWAY_ROW,8.0,
F029,바벨 슈러그,Barbell Shrug,gym,barbell,승모,전완,scapular_elevation,초급,gym,false,M058,,M099,H_BAND_SHRUG,4.0,
F030,덤벨 트라이셉스 킥백,DB Triceps Kickback,gym,dumbbell,삼두,,elbow_extension,초급,gym,true,M062,,M062,H_TRICEP_KICKBACK,4.0,
F031,덤벨 컨센트레이션 컬,DB Concentration Curl,gym,dumbbell,이두,,elbow_flexion,초급,gym,true,M063,,M063,H_BAND_CURL,4.0,
F032,덤벨 프론트 레이즈,DB Front Raise,gym,dumbbell,어깨(전면),,shoulder_flexion,초급,gym,false,M072,,M072,H_FRONT_RAISE_BW,4.0,
F033,바벨 업라이트 로우,Barbell Upright Row,gym,barbell,어깨|승모,이두,vertical_pull,중급,gym,false,M073,,M073,H_BAND_UPRIGHT,4.5,
F034,클로즈그립 벤치프레스,Close-grip Bench Press,gym,barbell,삼두|가슴,어깨,horizontal_push,중급,gym,false,M083,,M083,H_DIAMOND_PUSHUP,5.5,
F035,웨이티드 풀업,Weighted Pull-up,gym,bodyweight,등(광배)|이두,,vertical_pull,고급,gym,false,F005,,,H_DOORWAY_ROW,9.0,
F036,프론트 스쿼트,Front Squat,gym,barbell,대퇴사두|상부등,둔근,squat,고급,gym,false,F009,,,H_GOBLET_SQUAT_BW,8.0,
F037,푸시 프레스,Push Press,gym,barbell,어깨|삼두|대퇴사두,승모,vertical_push,고급,gym,false,F012,,,H_PIKE_PUSHUP,7.5,
F038,웨이티드 딥스,Weighted Dips,gym,bodyweight,삼두|가슴,어깨,vertical_push,고급,gym,false,F016,,,H_TRICEP_DIP,8.0,
F039,토즈 투 바,Toes to Bar,gym,bodyweight,복근|장요근,등,hip_flexion,고급,gym,false,F020,,,H_LYING_LEG_RAISE,7.0,
F040,스모 데드리프트,Sumo Deadlift,gym,barbell,둔근|내전근|햄스트링,등,hip_hinge,고급,gym,false,F025,,,H_GOOD_MORNING_BW,8.0,
F041,인클라인 덤벨 프레스,Incline Dumbbell Press,gym,dumbbell,가슴(상부)|삼두,어깨,horizontal_push,중급,gym,false,M002,,F002,H_INCLINE_PUSHUP,6.5,jZOywn1qArI
F042,플랫 덤벨 프레스,Flat Dumbbell Press,gym,dumbbell,가슴|삼두,어깨,horizontal_push,초급,gym,false,M001,,F001,H_PUSHUP,6.0,
F043,디클라인 덤벨 프레스,Decline Dumbbell Press,gym,dumbbell,가슴(하부)|삼두,,horizontal_push,중급,gym,false,F004,,,H_DECLINE_PUSHUP,6.0,
F044,덤벨 풀오버,Dumbbell Pullover,gym,dumbbell,가슴|광배,삼두,vertical_pull_iso,중급,gym,false,,,M014,H_FLOOR_PULLOVER,4.5,
F045,스파이더 컬,Spider Curl,gym,dumbbell,이두,,elbow_flexion,중급,gym,false,F018,,,H_BAND_CURL,4.0,
F046,21s 바벨 컬,21s Barbell Curl,gym,barbell,이두,전완,elbow_flexion,중급,gym,false,F017,,,H_BAND_CURL,4.5,
F047,EZ바 컬,EZ Bar Curl,gym,barbell,이두,전완,elbow_flexion,초급,gym,false,F017,,,H_BAND_CURL,4.5,
F048,EZ바 프렌치 프레스,EZ French Press,gym,barbell,삼두(장두),,elbow_extension,중급,gym,false,F015,,,H_OVERHEAD_TRICEP,4.5,
F049,덤벨 라잉 트라이셉스 익스텐션,DB Lying Triceps Ext,gym,dumbbell,삼두,,elbow_extension,초급,gym,false,F015,,,H_OVERHEAD_TRICEP,4.0,
F050,덤벨 시티드 숄더 프레스,DB Seated Shoulder Press,gym,dumbbell,어깨|삼두,승모,vertical_push,초급,gym,false,M027,,F012,H_PIKE_PUSHUP,5.0,
F051,덤벨 아놀드 프레스,Arnold Press,gym,dumbbell,어깨|삼두,승모,vertical_push,중급,gym,false,F050,,,H_PIKE_PUSHUP,5.5,
F052,덤벨 시티드 래터럴 레이즈,Seated DB Lateral,gym,dumbbell,어깨(측면),,shoulder_abduction,초급,gym,false,F013,,,H_LATERAL_RAISE_BW,4.0,
F053,체스트 서포티드 리어 델트 플라이,Chest Supported Rear Fly,gym,dumbbell,어깨(후면),승모,horizontal_pull_iso,초급,gym,false,F014,,,H_REAR_DELT_RAISE,4.0,
F054,덤벨 슈러그,Dumbbell Shrug,gym,dumbbell,승모,전완,scapular_elevation,초급,gym,false,F029,,M058,H_BAND_SHRUG,4.0,
F055,트랩바 데드리프트,Trap Bar Deadlift,gym,barbell,햄스트링|둔근|대퇴사두,등|승모,hip_hinge,중급,gym,false,F025,,,H_GOOD_MORNING_BW,7.5,
F056,바벨 박스 스쿼트,Box Squat,gym,barbell,대퇴사두|둔근,햄스트링,squat,중급,gym,false,F009,,,H_BOX_SQUAT_BW,7.0,
F057,바벨 페이즈 스쿼트,Pause Squat,gym,barbell,대퇴사두|둔근,,squat,고급,gym,false,F009,,,H_SQUAT,7.5,
F058,덤벨 고블릿 스쿼트,Goblet Squat,gym,dumbbell,대퇴사두|둔근,코어,squat,초급,gym,false,M016,F009,,H_GOBLET_SQUAT_BW,6.0,
F059,덤벨 스텝업,Dumbbell Step-up,gym,dumbbell,대퇴사두|둔근,햄스트링,lunge,초급,gym,true,M050,,F023,H_STEP_UP,5.5,
F060,덤벨 데드리프트,Dumbbell Deadlift,gym,dumbbell,햄스트링|둔근|등,,hip_hinge,초급,gym,false,M052,F025,,H_GOOD_MORNING_BW,6.0,
F061,바벨 런지,Barbell Lunge,gym,barbell,대퇴사두|둔근,햄스트링,lunge,중급,gym,true,F023,,M050,H_LUNGE,7.0,
F062,바벨 리버스 런지,Barbell Reverse Lunge,gym,barbell,대퇴사두|둔근,햄스트링,lunge,중급,gym,true,F061,,,H_REVERSE_LUNGE,6.5,
F063,바벨 워킹 런지,Barbell Walking Lunge,gym,barbell,대퇴사두|둔근,햄스트링,lunge,고급,gym,true,F061,,F023,H_LUNGE,7.5,
F064,바벨 카프 레이즈 (시티드),Seated Barbell Calf,gym,barbell,종아리(가자미),,calf_raise,초급,gym,false,M026,,,H_CALF_RAISE,3.5,
F065,덤벨 카프 레이즈,DB Calf Raise,gym,dumbbell,종아리,,calf_raise,초급,gym,false,F011,,M025,H_CALF_RAISE,3.5,
