exercise_id,weight_loss,muscle_gain,health,endurance,flexibility,maintenance
F083,9,8,7,7,2,8
F084,9,7,9,9,2,8
F085,7,8,8,5,3,8
F086,8,7,8,7,2,8
F087,8,7,9,8,5,8
F088,9,8,8,8,3,8
F089,5,8,7,4,1,7
F090,3,8,5,3,1,6
F091,3,7,5,3,1,6
F092,3,7,5,3,1,6
F093,2,5,5,3,1,4
F094,4,8,6,3,1,7
F095,3,8,5,3,1,6
F096,5,7,7,4,2,7
F097,6,8,8,4,3,7
F098,7,8,8,5,3,7
F099,7,8,7,5,4,7
F100,8,7,7,6,2,7
H_PUSHUP,6,7,8,5,2,7
H_KNEE_PUSHUP,5,5,7,4,2,6
H_INCLINE_PUSHUP,5,6,7,4,2,6
H_DECLINE_PUSHUP,6,8,7,5,2,7
H_DIAMOND_PUSHUP,6,7,7,5,2,7
H_PIKE_PUSHUP,6,7,7,5,3,7
H_HSPU,7,8,7,6,3,8
H_FLOOR_FLY,3,6,5,3,1,5
H_FLOOR_PULLOVER,3,5,5,3,2,5
H_DOORWAY_ROW,4,5,6,4,1,5
H_INV_ROW,6,7,8,5,2,7
H_PULLUP_DOOR,7,8,7,6,2,7
H_BAND_PULLDOWN,4,6,7,4,1,6
H_BAND_ROW,4,6,7,4,1,6
H_SQUAT,7,6,9,7,3,7
H_BOX_SQUAT_BW,5,5,8,5,3,6
H_GOBLET_SQUAT_BW,7,7,8,6,3,7
H_JUMP_SQUAT,9,5,7,8,2,7
H_BOX_JUMP,9,6,7,8,2,7
H_LUNGE,7,7,8,6,3,7
H_REVERSE_LUNGE,7,7,8,6,3,7
H_SIDE_LUNGE,7,7,8,6,4,7
H_COSSACK_SQUAT,7,7,8,6,5,7
H_BULGARIAN_SPLIT,7,8,8,6,3,7
H_STEP_UP,6,6,8,5,2,7
H_PISTOL_SQUAT,7,8,7,6,4,7
H_GLUTE_BRIDGE,5,6,7,4,3,6
H_SINGLE_LEG_BRIDGE,5,7,7,4,3,6
H_HIP_THRUST_COUCH,6,8,7,4,2,7
H_DONKEY_KICK,3,5,6,3,2,5
H_FIRE_HYDRANT,3,5,6,3,2,5
H_CLAMSHELL,3,5,7,3,3,5
H_SIDE_LYING_ADDUCTION,3,5,6,3,3,5
H_GOOD_MORNING_BW,5,6,8,4,3,6
H_SINGLE_LEG_RDL,6,7,8,5,4,7
H_NORDIC_CURL_AS,6,8,7,5,3,7
H_KB_SWING,9,7,9,8,2,8
H_WALL_SIT,5,5,7,5,2,6
H_CALF_RAISE,3,5,6,3,1,5
H_LATERAL_RAISE_BW,3,5,5,3,1,5
H_FRONT_RAISE_BW,3,5,5,3,1,5
H_REAR_DELT_RAISE,3,5,6,3,1,5
H_BAND_FACEPULL,3,5,7,3,1,6
H_BAND_UPRIGHT,3,5,6,3,1,5
H_BAND_SHRUG,3,5,6,3,1,5
H_BAND_CURL,3,6,5,3,1,5
H_BAND_HAMMER,3,6,5,3,1,5
H_TRICEP_DIP,5,6,6,4,1,6
H_TRICEP_KICKBACK,3,5,5,3,1,5
H_OVERHEAD_TRICEP,3,5,5,3,1,5
H_PLANK,5,5,8,5,2,7
H_SIDE_PLANK,5,5,8,5,3,7
H_HOLLOW_BODY,6,7,8,6,2,7
H_CRUNCH,4,5,6,4,1,5
H_REVERSE_CRUNCH,4,5,7,4,2,6
H_LYING_LEG_RAISE,5,6,7,4,2,6
H_BICYCLE,5,5,7,5,2,6
H_RUSSIAN_TWIST,4,5,6,4,2,5
H_MOUNTAIN_CLIMBER,9,4,8,9,2,7
H_BURPEE,10,5,8,9,2,7
H_HIGH_KNEE,9,3,8,9,2,6
H_JUMPING_JACK,9,3,8,9,2,6
H_SUPERMAN,3,5,7,3,3,6
H_BIRD_DOG,3,4,8,3,4,6
H_DEAD_BUG,3,4,8,3,3,6
H_SIDE_BEND,3,5,6,3,2,5
H_SIDE_CRUNCH,3,5,6,3,2,5
H_AB_ROLLOUT,5,7,7,4,2,7
H_FARMER_BW,6,6,8,6,2,7
H_WRIST_CURL,2,4,5,2,1,4
H_GET_UP_BW,7,6,9,7,4,7
C_TREADMILL_WALK,7,2,9,6,1,7
C_TREADMILL_RUN,10,3,8,10,1,8
C_TREADMILL_HIIT,10,5,7,10,1,8
C_TREADMILL_INCLINE,9,4,9,8,1,8
C_BIKE,8,3,9,9,1,8
C_BIKE_HIIT,10,4,8,10,1,8
C_SPIN,9,4,8,9,1,8
C_ROWING,9,6,9,9,2,9
C_ELLIPTICAL,8,3,9,8,1,7
C_STAIR,9,5,8,9,1,8
C_OUTDOOR_WALK,7,2,10,6,1,7
C_OUTDOOR_RUN,10,3,9,10,1,8
C_OUTDOOR_BIKE,8,3,9,9,1,8
C_OUTDOOR_HIKE,8,4,10,8,2,8
C_STAIRS,9,4,8,9,1,8
C_JUMP_ROPE,10,4,8,10,1,8
C_SWIM,9,5,10,9,4,9
Y001,4,2,9,5,10,7
Y002,1,1,8,2,9,5
Y003,3,2,8,3,10,7
Y004,2,2,7,2,9,5
Y005,3,3,7,3,9,6
Y006,4,3,8,4,9,7
Y007,4,3,8,4,10,7
Y008,4,3,8,4,10,7
Y009,2,2,7,2,9,6
Y010,2,1,7,2,10,5
Y011,3,3,8,3,9,6
Y012,4,4,7,4,10,6
Y013,2,1,7,2,10,5
Y014,1,1,8,1,7,5
Y015,2,1,7,2,10,5
